,Age,Gender,Department,Designation,MonthlySalary,YearsWithCompany,YearsInRole,AppraisalRating,TrainingHours,DoesOvertime,JobSatisfaction,WorkLifeBalance,DistanceFromHome,LeavesTaken,LeftCompany,DistanceGroup,SalaryGroup,TrainingGroup
2443,53,Male,HR,HR Executive,27926,8,4,3,29,0,3,2,1.0,18,0,0–5 km,15K-30K,26-30
2444,41,Female,Accounts,Accounts Officer,29497,4,1,4,60,1,5,2,13.2,2,0,5–15 km,15K-30K,56-60
2445,57,Female,Accounts,Accounts Officer,82418,9,4,2,30,0,1,1,32.0,23,1,30+km,81K-90K,26-30
2446,52,Female,IT,Software Engineer,119418,3,2,5,42,0,2,2,46.2,7,0,30+km,111K-120K,41-45
2447,54,Male,HR,HR Executive,36557,2,0,3,59,1,5,4,46.3,30,0,30+km,31K-40K,56-60
2448,31,Female,Accounts,Accounts Officer,68570,9,1,2,57,0,4,4,19.0,18,1,15–30 km,61K-70K,56-60
2449,50,Female,IT,Software Engineer,99363,9,9,4,60,0,1,2,12.6,16,0,5–15 km,91K-100K,56-60
2450,45,Female,HR,HR Executive,114692,9,8,5,16,0,1,4,27.1,23,0,15–30 km,111K-120K,16-20
2451,52,Female,HR,HR Executive,72303,7,5,1,31,0,1,3,25.7,7,1,15–30 km,71K-80K,31-35
2452,58,Other,Accounts,Accounts Officer,41026,1,1,2,12,0,1,1,11.7,29,1,5–15 km,41K-50K,11-15
2453,49,Female,Accounts,Accounts Officer,102024,9,7,3,49,0,4,2,12.7,12,0,5–15 km,101K-110K,46-50
2454,33,Other,HR,HR Executive,103048,9,3,2,13,0,5,2,19.7,11,1,15–30 km,101K-110K,11-15
2455,56,Other,Sales,Sales Associate,68370,6,3,4,43,1,3,2,6.2,25,0,5–15 km,61K-70K,41-45
2456,39,Female,Admin,Office Assistant,53198,4,0,4,14,0,4,2,25.6,26,1,15–30 km,51K-60K,11-15
2457,23,Other,Accounts,Accounts Officer,30159,4,4,3,49,1,4,2,21.6,0,0,15–30 km,31K-40K,46-50
2458,57,Other,HR,HR Executive,38240,7,4,3,30,0,3,2,4.5,5,0,0–5 km,31K-40K,26-30
2459,23,Male,HR,HR Executive,74914,9,1,1,51,0,1,4,3.7,28,1,0–5 km,71K-80K,51-55
2460,47,Female,Sales,Sales Associate,100437,4,0,3,19,0,4,1,22.8,14,0,15–30 km,101K-110K,16-20
2461,38,Male,Accounts,Accounts Officer,96224,8,1,2,35,0,5,4,41.2,5,0,30+km,91K-100K,31-35
2462,55,Male,Accounts,Accounts Officer,28919,7,4,2,9,0,2,3,1.1,4,1,0–5 km,15K-30K,6-10
2463,53,Male,IT,Software Engineer,15695,10,10,5,41,1,2,2,23.8,9,0,15–30 km,15K-30K,41-45
2464,42,Female,Accounts,Accounts Officer,61247,6,2,1,46,0,4,1,39.3,21,0,30+km,61K-70K,46-50
2465,48,Male,Accounts,Accounts Officer,113837,6,3,1,45,1,5,4,30.8,16,0,30+km,111K-120K,41-45
2466,23,Other,Sales,Sales Associate,17533,5,3,1,19,0,3,4,16.7,26,0,15–30 km,15K-30K,16-20
2467,22,Female,IT,Software Engineer,114805,9,8,4,19,1,3,4,5.9,25,0,5–15 km,111K-120K,16-20
2468,27,Other,Accounts,Accounts Officer,104498,8,4,4,27,1,5,1,9.6,6,1,5–15 km,101K-110K,26-30
2469,45,Male,Admin,Office Assistant,37606,2,0,4,53,0,4,1,36.0,7,0,30+km,31K-40K,51-55
2470,39,Male,Sales,Sales Associate,44899,8,3,4,19,1,3,4,40.8,20,0,30+km,41K-50K,16-20
2471,23,Other,HR,HR Executive,90916,10,9,5,30,0,1,2,36.3,20,0,30+km,91K-100K,26-30
2472,45,Other,HR,HR Executive,79133,1,1,1,39,0,4,4,46.9,29,0,30+km,71K-80K,36-40
2473,22,Female,Accounts,Accounts Officer,99758,6,2,2,33,0,2,3,47.3,19,1,30+km,91K-100K,31-35
2474,48,Male,Accounts,Accounts Officer,49366,2,1,5,8,0,5,3,4.2,26,0,0–5 km,41K-50K,6-10
2475,47,Male,IT,Software Engineer,68012,8,1,1,14,0,1,3,18.2,14,1,15–30 km,61K-70K,11-15
2476,56,Other,Accounts,Accounts Officer,90479,4,0,3,18,1,1,2,29.0,2,1,15–30 km,91K-100K,16-20
2477,39,Other,Accounts,Accounts Officer,104331,9,4,4,6,1,5,4,48.9,23,0,30+km,101K-110K,6-10
2478,26,Other,HR,HR Executive,74534,2,0,5,55,0,5,3,41.8,0,1,30+km,71K-80K,51-55
2479,27,Male,Accounts,Accounts Officer,97476,1,0,3,41,0,3,3,26.5,6,0,15–30 km,91K-100K,41-45
2480,51,Other,Admin,Office Assistant,30467,7,2,5,37,0,2,1,43.0,30,1,30+km,31K-40K,36-40
2481,58,Male,Admin,Office Assistant,109095,7,7,4,20,1,5,3,13.7,1,0,5–15 km,101K-110K,16-20
2482,23,Male,Admin,Office Assistant,109065,10,6,4,42,1,3,3,27.5,19,1,15–30 km,101K-110K,41-45
2483,26,Other,HR,HR Executive,40465,9,3,1,56,1,5,3,5.4,19,1,5–15 km,41K-50K,56-60
2484,44,Male,Sales,Sales Associate,119866,10,5,3,48,1,5,1,23.0,7,1,15–30 km,111K-120K,46-50
2485,52,Male,IT,Software Engineer,97007,4,1,1,1,0,3,3,7.4,20,0,5–15 km,91K-100K,0-5
2486,35,Other,HR,HR Executive,87071,9,9,2,7,1,1,1,27.8,17,1,15–30 km,81K-90K,6-10
2487,40,Female,IT,Software Engineer,76966,4,1,1,8,1,4,3,30.1,7,0,30+km,71K-80K,6-10
2488,49,Male,HR,HR Executive,28318,8,3,4,3,0,4,3,18.4,19,0,15–30 km,15K-30K,0-5
2489,29,Other,Admin,Office Assistant,106181,5,1,3,27,1,1,1,22.5,2,1,15–30 km,101K-110K,26-30
2490,53,Male,Sales,Sales Associate,92915,10,0,3,3,0,5,1,17.1,18,0,15–30 km,91K-100K,0-5
2491,47,Male,IT,Software Engineer,110480,4,0,3,13,0,5,2,14.7,27,0,5–15 km,111K-120K,11-15
2492,36,Male,HR,HR Executive,66564,4,0,3,28,0,5,1,14.8,6,0,5–15 km,61K-70K,26-30
2493,52,Female,Admin,Office Assistant,69374,2,0,5,8,0,2,2,14.0,0,0,5–15 km,61K-70K,6-10
2494,39,Male,HR,HR Executive,101896,6,2,3,14,0,2,1,26.5,26,1,15–30 km,101K-110K,11-15
2495,35,Female,HR,HR Executive,31891,6,1,5,13,0,1,1,12.1,10,0,5–15 km,31K-40K,11-15
2496,39,Male,HR,HR Executive,63624,1,1,5,49,0,5,4,23.3,0,0,15–30 km,61K-70K,46-50
2497,41,Other,Sales,Sales Associate,105815,10,2,5,37,1,2,4,29.6,25,0,15–30 km,101K-110K,36-40
2498,24,Male,IT,Software Engineer,53203,8,7,3,12,0,2,3,42.2,20,0,30+km,51K-60K,11-15
2499,52,Other,IT,Software Engineer,112789,2,0,1,2,0,3,4,26.8,10,0,15–30 km,111K-120K,0-5
2500,26,Male,Sales,Sales Associate,21669,7,3,2,57,1,2,1,26.2,7,1,15–30 km,15K-30K,56-60
2501,55,Other,Accounts,Accounts Officer,88607,4,2,4,35,0,4,1,19.3,7,0,15–30 km,81K-90K,31-35
2502,39,Female,Sales,Sales Associate,19451,3,2,3,56,1,3,3,21.2,29,1,15–30 km,15K-30K,56-60
2503,25,Other,IT,Software Engineer,16616,4,3,4,20,0,5,4,23.8,28,0,15–30 km,15K-30K,16-20
2504,45,Other,HR,HR Executive,68759,10,10,5,23,1,5,1,10.8,29,1,5–15 km,61K-70K,21-25
2505,25,Male,Admin,Office Assistant,67399,6,6,4,42,0,3,3,4.9,17,1,0–5 km,61K-70K,41-45
2506,60,Other,Accounts,Accounts Officer,76368,9,9,2,23,0,3,3,5.0,12,0,0–5 km,71K-80K,21-25
2507,35,Female,Sales,Sales Associate,34764,4,2,3,43,0,3,2,6.0,21,0,5–15 km,31K-40K,41-45
2508,48,Female,HR,HR Executive,53650,3,1,3,46,0,1,3,5.9,1,0,5–15 km,51K-60K,46-50
2509,23,Male,HR,HR Executive,53832,5,2,3,14,0,5,1,20.2,12,0,15–30 km,51K-60K,11-15
2510,32,Other,Sales,Sales Associate,97598,6,4,3,57,0,4,1,8.5,7,1,5–15 km,91K-100K,56-60
2511,46,Male,IT,Software Engineer,114714,4,2,3,39,1,2,2,48.8,10,0,30+km,111K-120K,36-40
2512,39,Female,Admin,Office Assistant,57949,7,2,4,1,1,2,4,24.0,20,0,15–30 km,51K-60K,0-5
2513,59,Other,IT,Software Engineer,106940,2,1,3,11,0,5,4,16.6,29,0,15–30 km,101K-110K,11-15
2514,33,Female,IT,Software Engineer,76622,8,7,1,8,0,3,2,34.9,20,0,30+km,71K-80K,6-10
2515,54,Male,Sales,Sales Associate,18715,10,9,2,29,1,1,4,48.6,3,1,30+km,15K-30K,26-30
2516,43,Other,Sales,Sales Associate,43664,6,2,1,37,0,4,1,2.6,20,0,0–5 km,41K-50K,36-40
2517,39,Other,IT,Software Engineer,27241,4,2,3,43,1,2,2,25.1,13,0,15–30 km,15K-30K,41-45
2518,39,Male,Accounts,Accounts Officer,51792,4,3,1,34,1,4,4,16.8,5,0,15–30 km,51K-60K,31-35
2519,48,Male,HR,HR Executive,35548,7,3,2,29,1,5,3,1.6,27,1,0–5 km,31K-40K,26-30
2520,59,Other,HR,HR Executive,53420,6,4,4,60,0,2,3,16.9,24,0,15–30 km,51K-60K,56-60
2521,40,Female,IT,Software Engineer,30168,10,4,1,2,0,2,4,11.6,15,1,5–15 km,31K-40K,0-5
2522,44,Female,Accounts,Accounts Officer,51781,7,1,1,6,1,4,1,4.3,21,0,0–5 km,51K-60K,6-10
2523,30,Other,HR,HR Executive,100197,5,1,2,36,1,1,2,38.7,26,1,30+km,101K-110K,36-40
2524,52,Female,IT,Software Engineer,107635,7,6,4,24,1,5,4,46.0,10,1,30+km,101K-110K,21-25
2525,47,Other,HR,HR Executive,83353,4,3,2,38,0,1,3,30.2,19,1,30+km,81K-90K,36-40
2526,42,Female,Sales,Sales Associate,111609,9,9,2,8,0,3,4,24.5,9,1,15–30 km,111K-120K,6-10
2527,54,Female,Sales,Sales Associate,101212,3,3,1,59,0,4,3,27.3,24,0,15–30 km,101K-110K,56-60
2528,55,Male,Accounts,Accounts Officer,36570,5,1,1,46,0,2,1,1.8,19,0,0–5 km,31K-40K,46-50
2529,58,Female,Admin,Office Assistant,36844,4,3,3,51,1,5,1,32.0,19,1,30+km,31K-40K,51-55
2530,47,Female,Sales,Sales Associate,118008,3,0,2,11,0,2,4,28.3,0,1,15–30 km,111K-120K,11-15
2531,53,Male,HR,HR Executive,99617,3,2,1,59,0,2,2,4.3,14,1,0–5 km,91K-100K,56-60
2532,35,Male,Sales,Sales Associate,67044,7,0,1,55,0,2,1,23.3,10,1,15–30 km,61K-70K,51-55
2533,58,Other,IT,Software Engineer,116329,4,1,2,17,0,2,2,29.1,2,0,15–30 km,111K-120K,16-20
2534,36,Male,Admin,Office Assistant,59032,3,2,3,56,0,3,4,44.9,12,0,30+km,51K-60K,56-60
2535,25,Other,Accounts,Accounts Officer,106459,10,9,2,30,0,2,2,33.0,18,1,30+km,101K-110K,26-30
2536,35,Female,IT,Software Engineer,103293,4,3,2,1,0,4,4,33.3,22,0,30+km,101K-110K,0-5
2537,49,Male,Accounts,Accounts Officer,89713,3,3,5,20,1,5,4,18.2,5,0,15–30 km,81K-90K,16-20
2538,22,Male,IT,Software Engineer,30557,4,3,2,25,0,3,3,33.5,22,0,30+km,31K-40K,21-25
2539,39,Other,Admin,Office Assistant,97236,8,4,1,58,0,3,3,7.6,30,1,5–15 km,91K-100K,56-60
2540,59,Male,IT,Software Engineer,39809,6,4,1,3,0,3,1,25.2,29,0,15–30 km,31K-40K,0-5
2541,44,Other,IT,Software Engineer,61130,6,0,2,25,1,4,3,15.6,4,0,15–30 km,61K-70K,21-25
2542,36,Male,IT,Software Engineer,81700,9,5,2,17,1,2,2,27.4,15,1,15–30 km,81K-90K,16-20
2543,60,Other,Accounts,Accounts Officer,70536,3,1,1,28,0,4,3,1.3,25,0,0–5 km,71K-80K,26-30
2544,47,Male,IT,Software Engineer,52949,8,2,3,38,0,5,1,22.2,25,0,15–30 km,51K-60K,36-40
2545,43,Male,IT,Software Engineer,117288,8,6,2,54,1,1,2,44.8,29,1,30+km,111K-120K,51-55
2546,53,Female,Accounts,Accounts Officer,97830,6,1,3,60,1,4,4,36.9,20,0,30+km,91K-100K,56-60
2547,30,Other,Sales,Sales Associate,24140,5,3,2,34,0,4,2,13.7,15,0,5–15 km,15K-30K,31-35
2548,25,Male,IT,Software Engineer,96083,8,1,4,0,0,5,4,28.3,20,0,15–30 km,91K-100K,0-5
2549,34,Female,IT,Software Engineer,47468,5,3,3,23,0,4,4,36.8,11,0,30+km,41K-50K,21-25
2550,44,Other,IT,Software Engineer,35109,1,1,2,55,0,1,3,49.1,2,1,30+km,31K-40K,51-55
2551,54,Other,Admin,Office Assistant,15643,4,4,4,46,0,2,4,34.7,12,0,30+km,15K-30K,46-50
2552,45,Other,HR,HR Executive,46850,4,4,1,43,0,3,4,21.2,4,0,15–30 km,41K-50K,41-45
2553,41,Male,Admin,Office Assistant,56600,6,6,4,35,0,4,4,11.0,3,0,5–15 km,51K-60K,31-35
2554,31,Male,Admin,Office Assistant,71890,10,4,5,34,1,3,4,45.2,13,0,30+km,71K-80K,31-35
2555,36,Other,Sales,Sales Associate,104975,9,0,2,14,1,5,3,9.4,11,0,5–15 km,101K-110K,11-15
2556,50,Male,Sales,Sales Associate,48224,8,7,1,57,0,4,4,24.4,27,1,15–30 km,41K-50K,56-60
2557,50,Other,IT,Software Engineer,16595,9,0,4,44,0,3,3,20.9,17,0,15–30 km,15K-30K,41-45
2558,22,Female,Sales,Sales Associate,106603,4,1,5,23,0,2,2,22.1,0,1,15–30 km,101K-110K,21-25
2559,48,Other,Admin,Office Assistant,65615,4,2,4,7,0,2,2,26.3,5,0,15–30 km,61K-70K,6-10
2560,59,Male,HR,HR Executive,93944,8,0,3,30,1,1,1,18.5,3,1,15–30 km,91K-100K,26-30
2561,45,Male,Accounts,Accounts Officer,118352,8,6,4,26,0,2,1,9.7,26,0,5–15 km,111K-120K,26-30
2562,60,Male,HR,HR Executive,66286,4,1,1,41,0,2,4,18.8,10,0,15–30 km,61K-70K,41-45
2563,54,Male,HR,HR Executive,72545,8,8,5,15,1,5,4,48.8,27,0,30+km,71K-80K,11-15
2564,31,Female,IT,Software Engineer,38637,10,4,4,31,1,4,4,1.6,18,0,0–5 km,31K-40K,31-35
2565,53,Female,Admin,Office Assistant,74334,3,1,1,29,1,5,1,35.8,17,1,30+km,71K-80K,26-30
2566,38,Female,IT,Software Engineer,105784,2,0,2,53,1,2,4,13.4,23,1,5–15 km,101K-110K,51-55
2567,25,Male,IT,Software Engineer,78284,5,4,5,5,0,4,2,48.4,7,0,30+km,71K-80K,0-5
2568,54,Female,Accounts,Accounts Officer,20710,2,0,3,51,0,3,1,5.3,20,0,5–15 km,15K-30K,51-55
2569,48,Male,Accounts,Accounts Officer,34163,3,2,1,44,0,2,4,24.9,22,1,15–30 km,31K-40K,41-45
2570,57,Other,IT,Software Engineer,70720,4,0,3,34,0,2,3,30.0,30,0,15–30 km,71K-80K,31-35
2571,47,Other,Admin,Office Assistant,83625,9,7,1,28,0,5,2,26.0,1,1,15–30 km,81K-90K,26-30
2572,54,Other,HR,HR Executive,44389,6,4,5,0,1,2,2,38.8,25,1,30+km,41K-50K,0-5
2573,25,Male,Admin,Office Assistant,96790,1,0,5,41,1,3,4,47.3,9,0,30+km,91K-100K,41-45
2574,34,Male,IT,Software Engineer,110720,7,5,4,47,0,1,3,47.8,10,0,30+km,111K-120K,46-50
2575,43,Other,Sales,Sales Associate,48640,2,0,2,2,1,3,4,10.1,10,0,5–15 km,41K-50K,0-5
2576,24,Female,IT,Software Engineer,62511,6,0,1,29,1,1,4,21.4,24,1,15–30 km,61K-70K,26-30
2577,52,Female,Sales,Sales Associate,90941,6,1,5,11,1,5,2,14.4,3,0,5–15 km,91K-100K,11-15
2578,51,Male,Accounts,Accounts Officer,75079,6,6,3,29,0,1,4,12.8,27,0,5–15 km,71K-80K,26-30
2579,54,Male,HR,HR Executive,104844,5,3,5,20,1,2,4,7.7,27,1,5–15 km,101K-110K,16-20
2580,59,Male,HR,HR Executive,27434,2,2,5,53,0,4,3,4.9,3,0,0–5 km,15K-30K,51-55
2581,26,Male,Accounts,Accounts Officer,106820,5,5,5,27,1,2,2,20.4,22,1,15–30 km,101K-110K,26-30
2582,37,Male,Accounts,Accounts Officer,110999,9,7,1,31,0,4,3,49.1,0,0,30+km,111K-120K,31-35
2583,22,Other,Admin,Office Assistant,25502,10,8,3,35,1,1,2,7.5,27,0,5–15 km,15K-30K,31-35
2584,34,Female,HR,HR Executive,43232,2,2,2,41,0,4,4,28.1,23,0,15–30 km,41K-50K,41-45
2585,36,Other,Admin,Office Assistant,100346,2,2,4,43,0,5,1,7.0,15,0,5–15 km,101K-110K,41-45
2586,57,Male,Sales,Sales Associate,119680,6,2,1,35,0,1,4,38.6,5,0,30+km,111K-120K,31-35
2587,29,Female,Accounts,Accounts Officer,111308,1,0,4,49,1,2,4,30.6,20,1,30+km,111K-120K,46-50
2588,42,Female,IT,Software Engineer,63610,3,0,5,39,0,5,1,27.8,20,0,15–30 km,61K-70K,36-40
2589,50,Female,Sales,Sales Associate,20090,2,0,2,11,1,4,3,32.4,8,0,30+km,15K-30K,11-15
2590,25,Female,Sales,Sales Associate,45365,2,0,5,0,1,3,2,22.7,19,0,15–30 km,41K-50K,0-5
2591,56,Other,Sales,Sales Associate,105954,3,1,3,51,0,1,4,18.7,27,1,15–30 km,101K-110K,51-55
2592,49,Other,HR,HR Executive,37963,3,3,3,49,1,3,4,8.0,0,0,5–15 km,31K-40K,46-50
2593,23,Female,IT,Software Engineer,59162,2,1,1,29,0,3,3,29.6,25,0,15–30 km,51K-60K,26-30
2594,46,Other,IT,Software Engineer,33394,7,2,1,43,0,1,4,21.2,10,0,15–30 km,31K-40K,41-45
2595,33,Male,Sales,Sales Associate,68624,8,1,2,47,0,4,3,21.6,8,0,15–30 km,61K-70K,46-50
2596,43,Female,IT,Software Engineer,81891,3,3,1,18,0,3,4,47.8,17,0,30+km,81K-90K,16-20
2597,60,Female,IT,Software Engineer,40422,10,10,3,4,0,4,3,32.2,7,0,30+km,41K-50K,0-5
2598,43,Other,Sales,Sales Associate,51769,6,5,5,34,0,3,4,16.4,28,1,15–30 km,51K-60K,31-35
2599,43,Male,Accounts,Accounts Officer,67501,3,3,5,26,1,3,3,37.8,6,0,30+km,61K-70K,26-30
2600,57,Female,Sales,Sales Associate,69864,5,1,1,45,0,3,3,49.7,29,0,30+km,61K-70K,41-45
2601,24,Female,Sales,Sales Associate,100883,3,1,3,16,0,5,3,43.5,18,0,30+km,101K-110K,16-20
2602,28,Male,Sales,Sales Associate,63082,8,8,1,32,0,1,1,9.2,27,1,5–15 km,61K-70K,31-35
2603,36,Male,Accounts,Accounts Officer,26264,9,9,4,50,1,1,1,43.7,10,1,30+km,15K-30K,46-50
2604,27,Female,Sales,Sales Associate,117841,4,0,4,2,1,5,2,26.7,19,0,15–30 km,111K-120K,0-5
2605,34,Male,Accounts,Accounts Officer,26019,5,3,5,0,1,1,2,32.3,16,0,30+km,15K-30K,0-5
2606,31,Female,Accounts,Accounts Officer,85588,4,0,5,37,0,5,1,3.5,21,0,0–5 km,81K-90K,36-40
2607,35,Male,Admin,Office Assistant,83433,5,4,5,52,0,2,2,38.9,9,0,30+km,81K-90K,51-55
2608,43,Other,Sales,Sales Associate,39749,6,1,1,39,1,4,3,15.5,18,1,15–30 km,31K-40K,36-40
2609,52,Other,HR,HR Executive,48805,2,0,5,1,1,2,4,41.3,30,1,30+km,41K-50K,0-5
2610,22,Female,Admin,Office Assistant,90428,1,0,1,53,0,2,1,29.6,30,1,15–30 km,91K-100K,51-55
2611,27,Male,HR,HR Executive,115200,1,1,5,3,1,5,4,15.0,17,1,5–15 km,111K-120K,0-5
2612,56,Male,Sales,Sales Associate,102673,10,2,2,46,0,1,3,21.9,24,1,15–30 km,101K-110K,46-50
2613,44,Female,Sales,Sales Associate,67701,3,0,1,34,0,1,4,23.1,6,0,15–30 km,61K-70K,31-35
2614,24,Male,Accounts,Accounts Officer,119073,5,3,3,26,0,5,2,45.2,24,0,30+km,111K-120K,26-30
2615,31,Other,Admin,Office Assistant,109338,6,5,4,35,0,5,1,14.2,24,0,5–15 km,101K-110K,31-35
2616,41,Male,IT,Software Engineer,70856,8,4,4,22,0,2,4,1.3,12,0,0–5 km,71K-80K,21-25
2617,43,Male,Accounts,Accounts Officer,43090,5,3,4,56,0,5,2,27.6,20,0,15–30 km,41K-50K,56-60
2618,39,Male,HR,HR Executive,94649,8,5,3,6,0,4,4,26.6,22,0,15–30 km,91K-100K,6-10
2619,41,Other,IT,Software Engineer,52538,8,5,5,49,0,3,2,4.3,1,0,0–5 km,51K-60K,46-50
2620,51,Other,Accounts,Accounts Officer,100952,8,8,5,0,1,3,1,46.0,22,1,30+km,101K-110K,0-5
2621,43,Other,IT,Software Engineer,119185,7,3,2,31,0,2,1,16.7,27,1,15–30 km,111K-120K,31-35
2622,48,Female,Accounts,Accounts Officer,93904,9,9,3,30,1,2,4,30.8,25,0,30+km,91K-100K,26-30
2623,53,Female,IT,Software Engineer,65498,4,2,3,6,1,5,4,24.2,6,0,15–30 km,61K-70K,6-10
2624,39,Female,IT,Software Engineer,65071,3,0,5,13,1,4,2,15.8,15,0,15–30 km,61K-70K,11-15
2625,37,Male,Sales,Sales Associate,115315,6,6,3,28,0,3,4,11.7,12,1,5–15 km,111K-120K,26-30
2626,30,Male,IT,Software Engineer,88652,5,4,2,8,1,2,2,26.2,11,1,15–30 km,81K-90K,6-10
2627,44,Male,HR,HR Executive,27206,8,6,4,24,0,1,1,39.6,21,0,30+km,15K-30K,21-25
2628,37,Other,Sales,Sales Associate,19499,7,7,5,37,0,4,3,12.9,1,0,5–15 km,15K-30K,36-40
2629,45,Male,Admin,Office Assistant,32549,4,2,3,54,1,5,1,8.4,16,0,5–15 km,31K-40K,51-55
2630,56,Male,Admin,Office Assistant,43324,9,6,2,49,0,1,2,19.8,8,1,15–30 km,41K-50K,46-50
2631,57,Male,Admin,Office Assistant,108992,3,3,2,43,1,3,3,15.4,29,1,15–30 km,101K-110K,41-45
2632,31,Other,IT,Software Engineer,88718,7,3,4,21,1,2,4,2.4,16,0,0–5 km,81K-90K,21-25
2633,31,Male,Accounts,Accounts Officer,67526,3,2,2,17,1,3,1,39.9,7,1,30+km,61K-70K,16-20
2634,28,Female,HR,HR Executive,56136,2,2,4,1,0,3,2,47.2,2,0,30+km,51K-60K,0-5
2635,36,Male,IT,Software Engineer,33112,9,1,5,22,0,1,1,12.4,23,0,5–15 km,31K-40K,21-25
2636,46,Female,Sales,Sales Associate,110180,9,4,4,29,1,2,4,26.1,9,1,15–30 km,111K-120K,26-30
2637,50,Male,IT,Software Engineer,19572,6,3,3,7,0,3,4,41.6,25,0,30+km,15K-30K,6-10
2638,44,Female,Accounts,Accounts Officer,105011,7,7,4,42,1,5,1,32.3,3,1,30+km,101K-110K,41-45
2639,29,Other,IT,Software Engineer,80577,10,0,1,44,1,5,1,23.8,20,1,15–30 km,81K-90K,41-45
2640,25,Male,HR,HR Executive,57759,1,0,4,32,1,1,2,9.2,7,0,5–15 km,51K-60K,31-35
2641,33,Female,Admin,Office Assistant,109882,8,1,4,37,0,5,2,13.4,20,0,5–15 km,101K-110K,36-40
2642,32,Female,Accounts,Accounts Officer,84777,4,1,5,28,1,3,1,36.2,8,1,30+km,81K-90K,26-30
2643,30,Male,IT,Software Engineer,58772,2,0,5,58,0,3,4,30.1,6,0,30+km,51K-60K,56-60
2644,42,Male,HR,HR Executive,47556,10,4,1,58,1,3,4,30.3,18,0,30+km,41K-50K,56-60
2645,31,Male,Admin,Office Assistant,25235,8,1,1,33,0,3,1,7.5,7,0,5–15 km,15K-30K,31-35
2646,32,Female,HR,HR Executive,25328,7,2,2,1,0,4,4,47.2,15,1,30+km,15K-30K,0-5
2647,25,Other,Sales,Sales Associate,118328,7,7,2,9,0,1,1,31.6,10,1,30+km,111K-120K,6-10
2648,26,Male,Admin,Office Assistant,52668,2,2,4,57,1,2,2,38.2,7,0,30+km,51K-60K,56-60
2649,48,Other,Sales,Sales Associate,17448,3,2,5,35,1,3,4,41.6,23,0,30+km,15K-30K,31-35
2650,43,Other,Admin,Office Assistant,90268,8,0,1,26,0,4,2,44.1,1,0,30+km,91K-100K,26-30
2651,36,Other,Accounts,Accounts Officer,116710,3,0,5,27,1,2,2,17.8,4,1,15–30 km,111K-120K,26-30
2652,51,Male,HR,HR Executive,92249,1,1,4,6,0,2,2,49.5,6,1,30+km,91K-100K,6-10
2653,48,Other,Admin,Office Assistant,67171,3,2,1,17,0,2,1,9.9,29,1,5–15 km,61K-70K,16-20
2654,23,Female,Sales,Sales Associate,39279,7,0,5,15,1,1,2,16.6,0,1,15–30 km,31K-40K,11-15
2655,59,Other,Sales,Sales Associate,87041,8,1,3,14,1,1,1,49.8,23,1,30+km,81K-90K,11-15
2656,27,Other,Sales,Sales Associate,24134,10,10,2,23,1,1,3,21.4,25,1,15–30 km,15K-30K,21-25
2657,50,Other,Sales,Sales Associate,85471,8,5,5,55,1,5,2,27.1,15,0,15–30 km,81K-90K,51-55
2658,52,Female,IT,Software Engineer,41050,4,3,5,29,1,1,1,36.4,14,1,30+km,41K-50K,26-30
2659,47,Male,Admin,Office Assistant,87674,9,8,1,41,1,5,4,26.8,27,0,15–30 km,81K-90K,41-45
2660,36,Male,HR,HR Executive,49058,10,9,1,60,1,4,3,27.6,12,0,15–30 km,41K-50K,56-60
2661,28,Male,HR,HR Executive,41723,2,2,4,56,1,4,3,19.3,10,1,15–30 km,41K-50K,56-60
2662,27,Male,Sales,Sales Associate,29132,8,6,5,58,0,4,1,45.4,0,1,30+km,15K-30K,56-60
2663,53,Male,IT,Software Engineer,38489,3,2,1,14,0,4,2,30.0,17,0,15–30 km,31K-40K,11-15
2664,36,Other,Admin,Office Assistant,109896,10,1,1,32,0,1,4,9.1,30,0,5–15 km,101K-110K,31-35
2665,37,Female,HR,HR Executive,31048,7,4,2,30,1,4,4,12.4,25,0,5–15 km,31K-40K,26-30
2666,52,Male,HR,HR Executive,71792,3,0,4,16,1,1,2,4.8,30,0,0–5 km,71K-80K,16-20
2667,36,Other,IT,Software Engineer,62836,3,3,3,23,0,5,1,44.1,6,0,30+km,61K-70K,21-25
2668,32,Female,IT,Software Engineer,21254,6,0,5,33,1,2,1,15.5,2,1,15–30 km,15K-30K,31-35
2669,46,Male,Sales,Sales Associate,91838,7,5,4,58,1,2,1,44.5,23,1,30+km,91K-100K,56-60
2670,59,Other,Admin,Office Assistant,22756,6,5,2,10,1,5,1,8.7,26,1,5–15 km,15K-30K,6-10
2671,28,Male,HR,HR Executive,107965,5,3,1,34,1,4,4,5.5,6,0,5–15 km,101K-110K,31-35
2672,38,Male,Accounts,Accounts Officer,42977,5,0,4,56,1,3,1,27.7,6,1,15–30 km,41K-50K,56-60
2673,51,Other,IT,Software Engineer,66589,6,5,5,36,0,5,2,12.3,27,0,5–15 km,61K-70K,36-40
2674,56,Other,IT,Software Engineer,86429,5,0,1,17,0,2,3,46.6,0,1,30+km,81K-90K,16-20
2675,44,Other,Sales,Sales Associate,68763,5,5,1,48,1,2,2,48.4,20,1,30+km,61K-70K,46-50
2676,44,Female,IT,Software Engineer,24226,4,1,5,52,0,4,3,34.3,27,0,30+km,15K-30K,51-55
